State,Element,Value,Units,BegDate,EndDate,Location,Station ID,Status,Notes
"New Hampshire","All-Time Maximum Temperature",106,"degrees F",19110704,19110704,"Nashua",275712,E,
"New Hampshire","All-Time Minimum Temperature",-50,"degrees F",18850122,18850122,"Mount Washington",14755,NA,"Value of -50 degrees F exceeds the previously reported all-time minimum temperature extreme of -46 on 1\/8\/1968. The -50 degrees F is not yet present in NCDC's digital data files but exists on observation forms and publications in NCDC archives. The value ties with Vermont and Maine for coldest temperature recorded in the Northeast region of the United States."
"New Hampshire","All-Time Greatest 24-Hour Precipitation",11.07,"inches",19961020,19961021,"Mount Washington",14755,N,
"New Hampshire","All-Time Maximum 24-Hour Snowfall",49.3,"inches",19690225,19690225,"Mount Washington",14755,N,
"New Hampshire","All-Time Maximum Snow Depth",164,"inches",19690227,19690227,"Pinkham Notch",276818,N,
"New Jersey","All-Time Maximum Temperature",110,"degrees F",19360710,19360710,"Runyon",287825,E,
"New Jersey","All-Time Minimum Temperature",-34,"degrees F",19040105,19040105,"River Vale",287620,E,
"New Jersey","All-Time Greatest 24-Hour Precipitation",14.81,"inches",19390819,19390820,"Tuckerton",288899,E,
"New Jersey","Maximum Annual Precipitation Total",90.65,"inches",20110101,20111231,"WEST MILFORD TWP 3.2 NE",CoCoRaHS NJ-PS-16,NA,"This record value was initially evaluated and scientifically validated by the SCEC in 2012. The non-archival status of the station's network was a concern at the time, delaying the approval. This concern is now moot, as the observing system is ingested into a permanent Federal archive."
"New Jersey","All-Time Maximum 24-Hour Snowfall",29.7,"inches",19471226,19471227,"Long Branch",284987,NSA,"The previous record of 32 inches, reported at Charlotteburg Reservoir (COOP ID: 287332) on 14 December 1915, was determined to have fallen during a span of time exceeding 24 hours, per notes indicated on the observer form, and was subsequently invalidated and replaced by the next-largest known 24-hour snowfall value located in Long Branch."
"New Jersey","All-Time Maximum Snow Depth",52,"inches",19610205,19610205,"Canistear Reservoir",281327,E,
"New Mexico","All-Time Maximum Temperature",122,"degrees F",19940627,19940627,"Waste Isolation Pilot Plant (nr. Loving)",299569,E,
"New Mexico","All-Time Minimum Temperature",-50,"degrees F",19510201,19510201,"Gavilan",293505,E,
"New Mexico","All-Time Greatest 24-Hour Precipitation",11.28,"inches",19550518,19550519,"Lake Maloya",294742,E,
"New Mexico","All-Time Maximum 24-Hour Snowfall",41,"inches",19640203,19640203,"Kelly Ranch",294461,N,
"New Mexico","All-Time Maximum Snow Depth",96,"inches",19410315,19410315,"Lee's Ranch",294903,N,
"New York","All-Time Maximum Temperature",108,"degrees F",19260722,19260722,"Troy",308597,E,
"New York","All-Time Minimum Temperature",-52,"degrees F",19790218,19790218,"Old Forge",306184,E1,
"New York","All-Time Greatest 24-Hour Precipitation",13.57,"inches",20140812,20140813,"Long Island MacArthur Airport",04781,,
"New York","All-Time Maximum 24-Hour Snowfall",50,"inches",19660201,19660201,"Camden",301110,NA,"An unofficial but widely accepted 24-hr snow fall observation of 54 inches was recorded at Barnes Corner (Tug Hill Plateau) in January 1976. In February 2020, the 50-inch value at Camden in 1966, already present in the record, but flagged as invalid, was determined by the SCEC to be valid. It was established as the record, replacing the previously accepted record of 49 inches, at Watertown on 14-15 November 1900. View the report from the associated investigation."
"New York","All-Time Maximum Snow Depth",119,"inches",19430420,19430420,"Whiteface Mountain",309383,N,"A snow depth value of 130 inches at Richland on 5 March 1947 was reviewed and rejected as a potential record. View the report associated with this investigation."
"North Carolina","All-Time Maximum Temperature",110,"degrees F",19830821,19830821,"Fayetteville",93740,E,
"North Carolina","All-Time Minimum Temperature",-34,"degrees F",19850121,19850121,"Mount Mitchell",315923,E,
"North Carolina","All-Time Greatest 24-Hour Precipitation",22.22,"inches",19160715,19160716,"Altapass",310160,E,
"North Carolina","Maximum Annual Precipitation Total",139.94,"inches",20180101,20181231,"Mt. Mitchell",315923,NS,""
"North Carolina","All-Time Maximum 24-Hour Snowfall",36,"inches",19930313,19930313,"Mt. Mitchell",315923,N,"In May 2016, the SCEC considered a reported 41-inch snowfall event observed in January 2016 at Mt. Mitchell (GHCN-D identifier USC00315923). The value was determined to be invalid, and the existing record of 36 inches set in March 1993 was thereby upheld."
"North Carolina","All-Time Maximum Snow Depth",50,"inches",19930314,19930314,"Mount Mitchell",315923,N1,
"North Carolina","All-Time Maximum Snow Depth",50,"inches",19420306,19420306,"Mount Mitchell",315921,N1,
"North Carolina","All-Time Maximum Snow Depth",50,"inches",19420305,19420305,"Mount Mitchell",315921,N1,
"North Carolina","All-Time Maximum Snow Depth",50,"inches",19420304,19420304,"Mount Mitchell",315921,N1,
"North Carolina","All-Time Maximum Snow Depth",50,"inches",19420303,19420303,"Mount Mitchell",315921,N1,
"North Dakota","All-Time Maximum Temperature",121,"degrees F",19360706,19360706,"Steele",328366,E,
"North Dakota","All-Time Minimum Temperature",-60,"degrees F",19360215,19360215,"Parshall",326867,E,
"North Dakota","All-Time Greatest 24-Hour Precipitation",8.1,"inches",19750629,19750629,"Litchville",325230,E,
"North Dakota","All-Time Maximum 24-Hour Snowfall",27,"inches",19840427,19840427,"Minot Airport",24013,N,
"North Dakota","All-Time Maximum Snow Depth",65,"inches",18970312,18970312,"Berlin",320720,N1,
"North Dakota","All-Time Maximum Snow Depth",65,"inches",18970311,18970311,"Berlin",320720,N1,
"Ohio","All-Time Maximum Temperature",113,"degrees F",19340721,19340721,"Gallipolis (near)",333029,E,
"Ohio","All-Time Minimum Temperature",-39,"degrees F",18990210,18990210,"Milligan",335310,E,
"Ohio","All-Time Greatest 24-Hour Precipitation",10.75,"inches",19950807,19950808,"Lockington Dam (nr. Sidney, Shelby Co. OH)",,EA,"Value is published in the August 1995 Storm Data publication and is from a reliable gauge. Higher 24-hr amounts may have occurred in conjunction with a line of severe storms that impacted Northwest Ohio on July 4-5, 1969."
"Ohio","All-Time Maximum 24-Hour Snowfall",30,"inches",19010420,19010420,"Warren 3S",338769,N,
"Ohio","All-Time Maximum Snow Depth",47,"inches",19961114,19961114,"Chardon",331458,N,
"Oklahoma","All-Time Maximum Temperature",120,"degrees F",19360812,19360812,"Altus",340179,E1A,
"Oklahoma","All-Time Maximum Temperature",120,"degrees F",19360810,19360810,"Poteau",347246,E1A,
"Oklahoma","All-Time Maximum Temperature",120,"degrees F",19360719,19360719,"Altus",340179,E1A,
"Oklahoma","All-Time Maximum Temperature",120,"degrees F",19360718,19360718,"Alva",340193,E1A,"A 120 degrees F observed at Tipton observed by an Oklahoma Mesonet automated weather station on June 27, 1994 was originally approved. However, this value was later withdrawn after problems with the instrumentation configuration were discovered several years later."
"Oklahoma","All-Time Minimum Temperature",-31,"degrees F",20110210,20110210,"Nowata",NOWA (OK Mesonet),NSA,
"Oklahoma","All-Time Greatest 24-Hour Precipitation",15.68,"inches",19731011,19731011,"Enid",342912,E,
"Oklahoma","All-Time Maximum 24-Hour Snowfall",27,"inches",20110209,20110210,"Spavinaw",348380,NSA,"The 24-hr snow fall at Woodward and Freedom fell in conjunction with a spring blizzard that set snow fall records in Oklahoma, Kansas and Texas. The State Climate Extremes Committee verified the validity of the observations at Woodward and Freedom."
"Oklahoma","All-Time Maximum Snow Depth",36,"inches",19710222,19710222,"Buffalo 2SSW",341243,N,
"Oklahoma","Hail: Diameter",6,"inches",20110523,20110523,"2 mi. N of Gotebo",,NSA,"The state hailstone record is understood to be the largest documented stone, though larger stones have likely fallen during territorial and state history. Other reports from prior dates did not provide sufficient documentary evidence."
"Oklahoma","Maximum Wind Gust",150.8,"mph",20110524,20110524,"El Reno",ELRE (OK Mesonet),NSA,
"Oregon","All-Time Maximum Temperature",119,"degrees F",20210629,20210629,"Moody Farms Agrimet",USBR Mesonet,SA,"A heat wave across the Pacific Northwest in late June 2021 broke a number of daily maximum temperature records. In addition, an Oregon SCEC determined that two reliable stations, Pelton Dam (COOP ID: 356532) and a U.S. Bureau of Reclamation mesonet station, Moody Farms Agriment, each tied the state maximum temperature record of 119 degrees F.. In February 2022, the Prineville, OR, (COOP ID: 356883) value of 119 degrees F, that occurred on July 29, 1898, was invalidated and removed from the SCEC records table."
"Oregon","All-Time Maximum Temperature",119,"degrees F",20210629,20210629,"Pelton Dam",356532,SA,"A heat wave across the Pacific Northwest in late June 2021 broke a number of daily maximum temperature records. In addition, an Oregon SCEC determined that two reliable stations, Pelton Dam (COOP ID: 356532) and a U.S. Bureau of Reclamation mesonet station, Moody Farms Agriment, each tied the state maximum temperature record of 119 degrees F.. In February 2022, the Prineville, OR, (COOP ID: 356883) value of 119 degrees F, that occurred on July 29, 1898, was invalidated and removed from the SCEC records table."
"Oregon","All-Time Maximum Temperature",119,"degrees F",18980810,18980810,"Pendleton",356541,E1,
"Oregon","All-Time Minimum Temperature",-54,"degrees F",19330210,19330210,"Seneca",357675,E1,
"Oregon","All-Time Minimum Temperature",-54,"degrees F",19330209,19330209,"Ukiah",358726,E1,
"Oregon","All-Time Greatest 24-Hour Precipitation",11.77,"inches",20061106,20061106,"Nehalem 9NE",355971,N,
"Oregon","All-Time Maximum 24-Hour Snowfall",47,"inches",19800109,19800109,"Hood River ES",354003,N,
"Oregon","All-Time Maximum Snow Depth",252,"inches",19830403,19830403,"Crater Lake NP HQ",351946,N,
"Pennsylvania","All-Time Maximum Temperature",111,"degrees F",19360710,19360710,"Phoenixville",366927,E1,
"Pennsylvania","All-Time Maximum Temperature",111,"degrees F",19360709,19360709,"Phoenixville",366927,E1,
"Pennsylvania","All-Time Minimum Temperature",-42,"degrees F",19040105,19040105,"Smethport",368190,E,
"Pennsylvania","All-Time Greatest 24-Hour Precipitation",13.5,"inches",19720622,19720622,"York 3SSW Pump Stn",369933,NA,"Arguably the greatest 24-hour rainfall on record outside of the tropics occurred around Smethport, PA on July 17, 1942. A post-event survey by the Weather Bureau provided a widely accepted maximum storm rainfall of 34.50 inches within a 12 hour period, of which an estimated 30.60 inches fell in just 6 hours. However, the greatest observed 24-hr rain fall for Pennsylvania occurred in conjunction with Hurricane Agnes in 1972."
"Pennsylvania","All-Time Maximum 24-Hour Snowfall",41,"inches",19580215,19580216,"Lakeville 1NNE",364733,NSA,"Lakeville 1NNE was the official name for this station when the record was set during 1958. The name of the station when the record was identified in 2021 was Lakeville 2NNE, which is reflected in the station metadata. This Lakeville value replaced the previously reported record of 38 inches, set at Morgantown (COOP ID: 365956) on 20 March 1958. More details are available in the report associated with this investigation."
"Pennsylvania","Monthly Maximum Snowfall",117.8,"inches",20100201,20100228,"Laurel Summit",364839,NSA,"A potential monthly snowfall record of 120.9 inches was reported for December 2017 at Erie International Airport. This value was examined by the SCEC during the following year. The SCEC found that observational practices associated with the Erie total reduced confidence in the value. The SCEC determined by a 4-1 vote that the existing Laurel Summit record be upheld.View Erie Dec 2017 reportView Laurel Summit Feb 2010 report"
"Pennsylvania","All-Time Maximum Snow Depth",60,"inches",19580323,19580323,"Gouldsboro",363394,N1,
"Pennsylvania","All-Time Maximum Snow Depth",60,"inches",19580322,19580322,"Gouldsboro",363394,N1,
"Puerto Rico","All-Time Maximum Temperature",104,"degrees F",19960702,19960702,"Mona Island",666258,NA,"Listed record value of 104 degrees F is being reviewed. If found to be invalid, the next highest temperature is 100 degrees F on August 21, 2003 at Ponce 4E."
"Puerto Rico","All-Time Minimum Temperature",40,"degrees F",19850327,19850327,"Rincon",668126,N1,
"Puerto Rico","All-Time Minimum Temperature",40,"degrees F",19660124,19660124,"San Sebastian",668881,N1,
"Puerto Rico","All-Time Minimum Temperature",40,"degrees F",19110309,19110309,"Aibonito",660158,N1,
"Puerto Rico","All-Time Greatest 24-Hour Precipitation",23.75,"inches",19851007,19851007,"Toro Negro Forest",669432,NA,"Value was observed during the passage of Tropical Storm Isabel (October 4-8, 1985)."
"Puerto Rico","All-Time Maximum 24-Hour Snowfall",,"inches",19691231,19691231,"N/A",,E,
"Puerto Rico","All-Time Maximum Snow Depth",,"inches",19691231,19691231,"N/A",,E,
"Rhode Island","All-Time Maximum Temperature",104,"degrees F",19750802,19750802,"Providence",14765,E,
"Rhode Island","All-Time Minimum Temperature",-28,"degrees F",19420111,19420111,"Wood River Junction",379327,NA,"Previously reported record of -25 degrees F at Greene on February 5, 1996 could not be verified. Source is unknown and no documentation could be found. Value is exceeded by the currently reported record at Wood River Junction."
"Rhode Island","All-Time Greatest 24-Hour Precipitation",12.13,"inches",19320916,19320917,"Westerly",378911,E,
"Rhode Island","All-Time Maximum 24-Hour Snowfall",30,"inches",19780207,19780207,"Woonsocket",379423,E,
"Rhode Island","All-Time Maximum Snow Depth",42,"inches",19780207,19780207,"North Foster 1E",375270,E,
"South Carolina","All-Time Maximum Temperature",113,"degrees F",20120629,20120629,"Columbia Univ of South Carolina",381944,NS,
"South Carolina","All-Time Minimum Temperature",-19,"degrees F",19850121,19850121,"Caesar's Head",381256,E,
"South Carolina","All-Time Greatest 24-Hour Precipitation",14.8,"inches",19990916,19990916,"Myrtle Beach",386153,NA,"Previously listed record of 17.00 inches at Antreville on Augst 27, 1995 (Tropical Storm Jerry) was incongruent with other observations in the area, and all reliable evidence pointed to a much smaller 24-hr value. The 14.80 inches observed at Myrtle Beach on September 16, 1999 is a result of Hurricane Floyd."
"South Carolina","Maximum Annual Precipitation Total",123.45,"inches",20180101,20181231,"Jocassee 8 NW",384581,NSA,"An annual value of 125.62 inches for the calendar year 2018 was reported by the Greenville Water Company. This annual value was considered plausible by the SCEC. However, the station was not at the time a member of an organized and reporting observation network, and therefore not considered for the record. View the associated report."
"South Carolina","All-Time Maximum 24-Hour Snowfall",24,"inches",19730209,19730210,"Rimini 2SSW",387313,N,
"South Carolina","All-Time Maximum Snow Depth",29,"inches",19690218,19690218,"Ceasars Head",381256,N,
"South Dakota","All-Time Maximum Temperature",120,"degrees F",20060715,20060715,"Fort Pierre",393076,N1,
"South Dakota","All-Time Maximum Temperature",120,"degrees F",19360705,19360705,"Gann Valley",393217,N1,
"South Dakota","All-Time Minimum Temperature",-58,"degrees F",19360217,19360217,"McIntosh",395381,E,
"South Dakota","All-Time Greatest 24-Hour Precipitation",8.74,"inches",20070506,20070506,"Groton",393456,NSA,"The reported value was evaluated by the State Climate Extremes Committee. Greater amounts have fallen in 24 hours or less across SD, but were not observed by reliable precipitation measurement gauges. A survey after the June 9, 1972 Black Hills flood indicated rainfall up to 15 inches in 6 hours may have occurred near Keystone. On June 13-14, 1976 up to 10 inches of rain may have fallen over the Black Hills, while on June 14, 1996 a near-stationary thunderstorm produced an estimated 14 inches of rain between Sturgis and Hereford. On August 17, 2007 an estimated 10.5 inches of rain fell west of Hermosa. Slow moving thunderstorms on May 8, 2018 produced large storm totals across parts of SD including an unofficial 24-hour report measuring 13.15 inches northwest of Long Lake."
"South Dakota","All-Time Maximum 24-Hour Snowfall",52,"inches",19730314,19730314,"Lead",394834,N,
"South Dakota","All-Time Maximum Snow Depth",73,"inches",19980301,19980301,"Lead",394834,E,
"South Dakota","Hail: Weight",1.938,"pounds",20100723,20100723,"Vivian",,A,"The reported value has been evaluated by the National Climate Extremes Committee and found to be accurate. This hail stone is the heaviest and greatest diameter stone on record for the United States. When initially collected after the storm, the stone had a reported diameter of 11 inches, but deteriorated in the observer's freezer owing to a loss of power after the storm. The Aurora, NE hail stone remains the largest circumference stone on record for the United States."
"South Dakota","Hail: Circumference",18.625,"inches",20100723,20100723,"Vivian",,A,"The reported value has been evaluated by the National Climate Extremes Committee and found to be accurate. This hail stone is the heaviest and greatest diameter stone on record for the United States. When initially collected after the storm, the stone had a reported diameter of 11 inches, but deteriorated in the observer's freezer owing to a loss of power after the storm. The Aurora, NE hail stone remains the largest circumference stone on record for the United States."
"South Dakota","Hail: Diameter",8,"inches",20100723,20100723,"Vivian",,A,"The reported value has been evaluated by the National Climate Extremes Committee and found to be accurate. This hail stone is the heaviest and greatest diameter stone on record for the United States. When initially collected after the storm, the stone had a reported diameter of 11 inches, but deteriorated in the observer's freezer owing to a loss of power after the storm. The Aurora, NE hail stone remains the largest circumference stone on record for the United States."
"Tennessee","All-Time Maximum Temperature",113,"degrees F",19300809,19300809,"Perryville",407099,E1,
"Tennessee","All-Time Maximum Temperature",113,"degrees F",19300729,19300729,"Perryville",407099,E1,
"Tennessee","All-Time Minimum Temperature",-32,"degrees F",19171230,19171230,"Mountain City",406287,E,
"Tennessee","All-Time Greatest 24-Hour Precipitation",20.73,"inches",20210821,20210821,"McEwen",N/A,NSA,"The 2021 value replaced the previous record of 13.60 inches, set at Milan (COOP ID: 406012) on 13 September 1982."
"Tennessee","All-Time Maximum 24-Hour Snowfall",30,"inches",19930314,19930314,"Mount Leconte",406328,N,
"Tennessee","All-Time Maximum Snow Depth",63,"inches",19930315,19930315,"Mount Leconte",406328,N1,
"Tennessee","All-Time Maximum Snow Depth",63,"inches",19930314,19930314,"Mount Leconte",406328,N1,
"Texas","All-Time Maximum Temperature",120,"degrees F",19940628,19940628,"Monahans",415999,E1,
"Texas","All-Time Maximum Temperature",120,"degrees F",19360812,19360812,"Seymour",418221,E1,
"Texas","All-Time Minimum Temperature",-23,"degrees F",19330208,19330208,"Seminole",418201,E1,
"Texas","All-Time Minimum Temperature",-23,"degrees F",18990212,18990212,"Tulia 6NE",419176,SA1,"Historical value at Tulia 6NE became available upon digitization and update of previously paper-bound data. It was examined retroactively, found, to be valid and tied the prior stated record."
"Texas","All-Time Greatest 24-Hour Precipitation",42,"inches",19790725,19790726,"Alvin",,EA,"The 24-hour rainfall of 42.00 inches was reported from an observer 8.5 miles west of Alvin, Texas between 7 AM July 25th and 7 AM July 26th, 1979 in conjunction with Tropical Storm Claudette. Observer reported that the 10-inch gauge was overflowing at his 1 AM reading, and so the 42 inches may be underreported by at least 3 inches. This 42.00-in rainfall exceeds any observed 24-hr precipitation value for the United States. 43.00 inches of rain in this storm is acknowledged as the United States national record 24-hr precipitation amount, but that value appears to have been estimated in a post-storm survey and is therefore not listed here."
"Texas","All-Time Maximum 24-Hour Snowfall",26,"inches",19291220,19291221,"Hillsboro",414182,NSA,"Historical value was examined retroactively and found to be valid and exceeded prior stated record. The previously recognized record of 25\", observed in March 2009 at Follett (GHCN-D identifier USC00413225) is documented (here)."
"Texas","All-Time Maximum Snow Depth",33,"inches",19560207,19560207,"Vega 2NW",419330,N,
"Texas","Hail: Weight",1.26,"pounds",20210428,20210428,"1 SSW Hondo",N/A,SA,""
"Texas","Hail: Circumference",19.73,"inches",20210428,20210428,"1 SSW Hondo",N/A,SA,""
"Texas","Hail: Diameter",6.416,"inches",20210428,20210428,"1 SSW Hondo",N/A,SA,""
"Texas","Hail: Volume",40.239,"cubic inches",20210428,20210428,"1 SSW Hondo",N/A,SA,""
"Utah","All-Time Maximum Temperature",117,"degrees F",20210710,20210710,"St. George",427516,ESA,"A 118 degrees F temperature was observed on July 4, 2007 at a Remote Automatic Weather Station (RAWS) located near the Utah Welcome Center on I-15 south of St. George. However, a decision on the validity of this value could not be determined by the State Climate Extremes Committee. View 2021 Record Report"
"Utah","All-Time Maximum Temperature",117,"degrees F",19850705,19850705,"St. George",427516,EA,"A 118 degrees F temperature was observed on July 4, 2007 at a Remote Automatic Weather Station (RAWS) located near the Utah Welcome Center on I-15 south of St. George. However, a decision on the validity of this value could not be determined by the State Climate Extremes Committee. View 2021 Record Report"
"Utah","All-Time Minimum Temperature",-50,"degrees F",19130105,19130105,"Strawberry Tunnel (East)",422319,NA,"The previously reported record of -69 degrees F set at Peters Sinks on Feb 1, 1985 is widely considered an accurate observation, but no information concerning the observation or the station could be identified, and the value is heavily affected by the local terrain. The -50 degrees F at Strawberry Tunnel is the coldest temperature observation that can be verified from publicly available observations at established observation stations in Utah."
"Utah","All-Time Greatest 24-Hour Precipitation",5.08,"inches",19630201,19630201,"Deer Creek Dam",422057,NA,"A value of 8.40 inches was reported as part of a post-flash flood survey conducted by the National Weather Service at North Odgen on September 7-8, 1991."
"Utah","All-Time Maximum 24-Hour Snowfall",38,"inches",19821202,19821202,"Alta",420072,NA,"55.5 inches of snow fall in 24 hours was reported at the Alta Guard Station in Alta, UT on January 5-6, 1991, but information concerning this observation or the station is unavailable and cannot be considered official."
"Utah","All-Time Maximum Snow Depth",179,"inches",19580407,19580407,"Alta",420072,N1A,"236 inches of snow depth were observed at the Collins snow study observation site at Alta, UT on May 19, 1983, but information concerning this observation or the station is unavailable and cannot be considered official."
"Utah","All-Time Maximum Snow Depth",179,"inches",19580405,19580405,"Alta",420072,N1A,"236 inches of snow depth were observed at the Collins snow study observation site at Alta, UT on May 19, 1983, but information concerning this observation or the station is unavailable and cannot be considered official."
"Vermont","All-Time Maximum Temperature",107,"degrees F",19120707,19120707,"Vernon",438600,N,
"Vermont","All-Time Minimum Temperature",-50,"degrees F",19331230,19331230,"Bloomfield",430690,E,"The -50 degrees F minimum temperature ties with values from NH and ME as the all-time coldest temperature for the Northeast region of the United States."
"Vermont","All-Time Greatest 24-Hour Precipitation",9.92,"inches",19990917,19990917,"Mt. Mansfield",435416,N,
"Vermont","All-Time Maximum 24-Hour Snowfall",42,"inches",19950205,19950205,"Jay Peak",434189,N,"Two potential 24-hour snowfall records of 44.8 inches at Peru (COOP ID: 436335) and 42.0 inches at Landgrove 1.1 NNE (CoCoRaHS ID: VT-BN-3) over a 24-hour period on 16-17 December 2020 were examined by the SCEC during the following year. The SCEC found that observational practices associated with the measurements reduced confidence in these values. The SCEC determined by two separate 5-0 votes that the existing Jay Peak record be upheld."
"Vermont","All-Time Maximum Snow Depth",149,"inches",19690402,19690402,"Mt. Mansfield",435416,N,
"Vermont","Hail: Weight",0.13125,"pounds",20090716,20090716,"Westford",,NSA,"A large hailstone fell in the backyard of a National Weather Service employee and was brought before the State Climate Extremes Committee for review. After a search of historical hail reports, it was determined that the hail stone was the largest ever measured for the state of Vermont. As a result of this investigation, a set of hail collection and measurement guidelines was proposed by the State Climate Extremes Committee."
"Vermont","Hail: Circumference",6.8,"inches",20090716,20090716,"Westford",,NSA,"A large hailstone fell in the backyard of a National Weather Service employee and was brought before the State Climate Extremes Committee for review. After a search of historical hail reports, it was determined that the hail stone was the largest ever measured for the state of Vermont. As a result of this investigation, a set of hail collection and measurement guidelines was proposed by the State Climate Extremes Committee."
"Vermont","Hail: Diameter",3.3,"inches",20090716,20090716,"Westford",,NSA,"A large hailstone fell in the backyard of a National Weather Service employee and was brought before the State Climate Extremes Committee for review. After a search of historical hail reports, it was determined that the hail stone was the largest ever measured for the state of Vermont. As a result of this investigation, a set of hail collection and measurement guidelines was proposed by the State Climate Extremes Committee."
"Virgin Islands (U.S.)","All-Time Maximum Temperature",99,"degrees F",19960623,19960623,"Charlotte Amalie (St. Thomas)",11640,N1A,
"Virgin Islands (U.S.)","All-Time Maximum Temperature",99,"degrees F",19940804,19940804,"Charlotte Amalie (St. Thomas)",11640,N1A,
"Virgin Islands (U.S.)","All-Time Maximum Temperature",99,"degrees F",19880731,19880731,"Cruz Bay (St. John)",671980,N1A,
"Virgin Islands (U.S.)","All-Time Minimum Temperature",51,"degrees F",19540131,19540131,"Anna's Hope (St. Croix)",670260,NA,
"Virgin Islands (U.S.)","All-Time Greatest 24-Hour Precipitation",20,"inches",19790904,19790904,"Anna's Hope (SC)",670260,NA,
"Virgin Islands (U.S.)","All-Time Maximum 24-Hour Snowfall",,"inches",19691231,19691231,"N/A",,EA,
"Virgin Islands (U.S.)","All-Time Maximum Snow Depth",,"inches",19691231,19691231,"N/A",,EA,
"Virginia","All-Time Maximum Temperature",110,"degrees F",19540715,19540715,"Balcony Falls",440411,E1,
"Virginia","All-Time Maximum Temperature",110,"degrees F",19000707,19000707,"Columbia",441929,E1,
"Virginia","All-Time Maximum Temperature",110,"degrees F",19000705,19000705,"Columbia",441929,E1,
"Virginia","All-Time Minimum Temperature",-30,"degrees F",19850121,19850121,"Mountain Lake Biological Station",445828,E,"The date for the existing record of -30 degrees F at Mountain Lake Biological Station was incorrect by one day. Date listed is the correct observation date."
"Virginia","All-Time Greatest 24-Hour Precipitation",14.28,"inches",19990916,19990916,"Williamsburg 2N",449151,NA,"Storm Data (Vol. 11, No. 8) reports associated with Hurricane Camille (August 1969) indicate \"... substantiated amounts up to 31 inches ... falling mainly in Nelson and adjacent counties ....\" The 14.28 inches at Williamsburg fell in conjunction with Hurricane Floyd."
"Virginia","Maximum Annual Precipitation Total",94.43,"inches",20180101,20181231,"Sperryville",447985,NSA,"View the report associated with the Sperryville record. Before the Sperryville value came to light, two smaller annual totals that nevertheless exceeded the previously understood unofficial record were investigated. These were values of 89.90\" at Montebello Fish Hatchery and 87.33\" at Roanoke 5.8 SW (CoCoRaHS). These were determined not to be valid statewide precipitation records. A separate report detailing these values is available here."
"Virginia","All-Time Maximum 24-Hour Snowfall",33.5,"inches",19940303,19940303,"Luray 5E",445096,E,
"Virginia","All-Time Maximum Snow Depth",47,"inches",19960107,19960107,"Big Meadows",440720,E,
"Washington","All-Time Maximum Temperature",120,"degrees F",20210629,20210629,"Hanford",DOE Mesonet H100F,NSA,"A heat wave across the Pacific Northwest in late June 2021 broke a number of daily maximum temperature records. In addition, an Washington SCEC determined that a Department of Energy mesonet station, Hanford H100F, reached 120 degrees F, exceeding the previous record of 118 degrees F set at Ice Harbor Dam (COOP ID: 453993) on August 5, 1961 and Wahluke (COOP ID: 458903) on July 24, 1928."
"Washington","All-Time Minimum Temperature",-48,"degrees F",19681230,19681230,"Mazama",455133,E2,
"Washington","All-Time Minimum Temperature",-48,"degrees F",19681230,19681230,"Winthrop",459376,E2,
"Washington","All-Time Greatest 24-Hour Precipitation",14.26,"inches",19861123,19861124,"Mt. Mitchell #2",455668,E,
"Washington","All-Time Maximum 24-Hour Snowfall",65,"inches",19940224,19940224,"Crystal Mountain Ski Resort",NWAC,NA,"The observation of 65.0 inches of snow that fell in 24 hours at the Crystal Mountain ski resort on February 24, 1994 is archived at the Northwest Weather and Avalanche Center. The greatest 24-hr snow fall observed at an official NOAA weather station in Washington is 52.0 inches observed at Winthrop on January 21, 1935."
"Washington","All-Time Maximum Snow Depth",367,"inches",19560310,19560310,"Rainier Paradise RS",456898,N1,
"Washington","All-Time Maximum Snow Depth",367,"inches",19560309,19560309,"Rainier Paradise RS",456898,N1,
"West Virginia","All-Time Maximum Temperature",112,"degrees F",19360710,19360710,"Martinsburg",13734,E1,
"West Virginia","All-Time Maximum Temperature",112,"degrees F",19300804,19300804,"Moorefield",466163,E1,
"West Virginia","All-Time Minimum Temperature",-37,"degrees F",19171230,19171230,"Lewisburg",465224,E,
"West Virginia","All-Time Greatest 24-Hour Precipitation",12.02,"inches",19490618,19490618,"Brushy Run",461204,NA,"It is widely accepted that the greatest precipitation in a 24 hr period for West Virginia was an estimated 19.00 inches that reportedly fell in 2 hrs and 10 minutes on July 18, 1889 at Rockport during a cloudburst that caused Tygart Creek to rise 22 feet in one hour. However, this value has not been confirmed."
"West Virginia","Maximum Annual Precipitation Total",96.99,"inches",20180101,20181231,"Parsons 3SE (Hendricks)",USC00466867,NS,""
"West Virginia","All-Time Maximum 24-Hour Snowfall",35,"inches",19980127,19980128,"Flat Top",463072,NA,"The 35.0 inches of snowfall reported at Flat Top fell from 10 AM on January 27th to 10 AM on January 28th, 1998. Observation-time values for each day are 30.0 and 8.0 inches, respectively."
"West Virginia","Monthly Maximum Snowfall",158.2,"inches",20100201,20100228,"Bayard",460527,NA,""
"West Virginia","All-Time Maximum Snow Depth",62,"inches",19780308,19780308,"Snowshoe",468308,N,
"Wisconsin","All-Time Maximum Temperature",114,"degrees F",19360713,19360713,"Wisconsin Dells",479319,E,
"Wisconsin","All-Time Minimum Temperature",-55,"degrees F",19960204,19960204,"Couderay",471847,E1,
"Wisconsin","All-Time Minimum Temperature",-55,"degrees F",19960202,19960202,"Couderay",471847,E1,
