,state,urbanicity,year
1,Alabama,59.0,2017
2,Alaska,66.0,2017
3,Arizona,89.8,2017
4,Arkansas,56.2,2017
5,California,95.0,2017
6,Colorado,86.2,2017
7,Connecticut,88.0,2017
8,Delaware,83.3,2017
9,District of Columbia,100.0,2017
10,Florida,91.2,2017
11,Georgia,75.1,2017
12,Hawaii,91.9,2017
13,Idaho,70.6,2017
14,Illinois,88.5,2017
15,Indiana,72.4,2017
16,Iowa,64.0,2017
17,Kansas,74.2,2017
18,Kentucky,58.4,2017
19,Louisiana,73.2,2017
20,Maine,38.7,2017
21,Maryland,87.2,2017
22,Massachusetts,92.0,2017
23,Michigan,74.6,2017
24,Minnesota,73.3,2017
25,Mississippi,49.4,2017
26,Missouri,70.4,2017
27,Montana,55.9,2017
28,Nebraska,73.1,2017
29,Nevada,94.2,2017
30,New Hampshire,60.3,2017
31,New Jersey,94.7,2017
32,New Mexico,77.4,2017
33,New York,87.9,2017
34,North Carolina,66.1,2017
35,North Dakota,59.9,2017
36,Ohio,77.9,2017
37,Oklahoma,66.2,2017
38,Oregon,81.0,2017
39,Pennsylvania,78.7,2017
40,Rhode Island,90.7,2017
41,South Carolina,66.3,2017
42,South Dakota,56.7,2017
43,Tennessee,66.4,2017
44,Texas,84.7,2017
45,Utah,90.6,2017
46,Vermont,38.9,2017
47,Virginia,75.5,2017
48,Washington,84.1,2017
49,West Virginia,48.7,2017
50,Wisconsin,70.2,2017
51,Wyoming,64.8,2017
1,Alabama,59.0,2018
2,Alaska,66.0,2018
3,Arizona,89.8,2018
4,Arkansas,56.2,2018
5,California,95.0,2018
6,Colorado,86.2,2018
7,Connecticut,88.0,2018
8,Delaware,83.3,2018
9,District of Columbia,100.0,2018
10,Florida,91.2,2018
11,Georgia,75.1,2018
12,Hawaii,91.9,2018
13,Idaho,70.6,2018
14,Illinois,88.5,2018
15,Indiana,72.4,2018
16,Iowa,64.0,2018
17,Kansas,74.2,2018
18,Kentucky,58.4,2018
19,Louisiana,73.2,2018
20,Maine,38.7,2018
21,Maryland,87.2,2018
22,Massachusetts,92.0,2018
23,Michigan,74.6,2018
24,Minnesota,73.3,2018
25,Mississippi,49.4,2018
26,Missouri,70.4,2018
27,Montana,55.9,2018
28,Nebraska,73.1,2018
29,Nevada,94.2,2018
30,New Hampshire,60.3,2018
31,New Jersey,94.7,2018
32,New Mexico,77.4,2018
33,New York,87.9,2018
34,North Carolina,66.1,2018
35,North Dakota,59.9,2018
36,Ohio,77.9,2018
37,Oklahoma,66.2,2018
38,Oregon,81.0,2018
39,Pennsylvania,78.7,2018
40,Rhode Island,90.7,2018
41,South Carolina,66.3,2018
42,South Dakota,56.7,2018
43,Tennessee,66.4,2018
44,Texas,84.7,2018
45,Utah,90.6,2018
46,Vermont,38.9,2018
47,Virginia,75.5,2018
48,Washington,84.1,2018
49,West Virginia,48.7,2018
50,Wisconsin,70.2,2018
51,Wyoming,64.8,2018
1,Alabama,59.0,2019
2,Alaska,66.0,2019
3,Arizona,89.8,2019
4,Arkansas,56.2,2019
5,California,95.0,2019
6,Colorado,86.2,2019
7,Connecticut,88.0,2019
8,Delaware,83.3,2019
9,District of Columbia,100.0,2019
10,Florida,91.2,2019
11,Georgia,75.1,2019
12,Hawaii,91.9,2019
13,Idaho,70.6,2019
14,Illinois,88.5,2019
15,Indiana,72.4,2019
16,Iowa,64.0,2019
17,Kansas,74.2,2019
18,Kentucky,58.4,2019
19,Louisiana,73.2,2019
20,Maine,38.7,2019
21,Maryland,87.2,2019
22,Massachusetts,92.0,2019
23,Michigan,74.6,2019
24,Minnesota,73.3,2019
25,Mississippi,49.4,2019
26,Missouri,70.4,2019
27,Montana,55.9,2019
28,Nebraska,73.1,2019
29,Nevada,94.2,2019
30,New Hampshire,60.3,2019
31,New Jersey,94.7,2019
32,New Mexico,77.4,2019
33,New York,87.9,2019
34,North Carolina,66.1,2019
35,North Dakota,59.9,2019
36,Ohio,77.9,2019
37,Oklahoma,66.2,2019
38,Oregon,81.0,2019
39,Pennsylvania,78.7,2019
40,Rhode Island,90.7,2019
41,South Carolina,66.3,2019
42,South Dakota,56.7,2019
43,Tennessee,66.4,2019
44,Texas,84.7,2019
45,Utah,90.6,2019
46,Vermont,38.9,2019
47,Virginia,75.5,2019
48,Washington,84.1,2019
49,West Virginia,48.7,2019
50,Wisconsin,70.2,2019
51,Wyoming,64.8,2019
1,Alabama,59.0,2020
2,Alaska,66.0,2020
3,Arizona,89.8,2020
4,Arkansas,56.2,2020
5,California,95.0,2020
6,Colorado,86.2,2020
7,Connecticut,88.0,2020
8,Delaware,83.3,2020
9,District of Columbia,100.0,2020
10,Florida,91.2,2020
11,Georgia,75.1,2020
12,Hawaii,91.9,2020
13,Idaho,70.6,2020
14,Illinois,88.5,2020
15,Indiana,72.4,2020
16,Iowa,64.0,2020
17,Kansas,74.2,2020
18,Kentucky,58.4,2020
19,Louisiana,73.2,2020
20,Maine,38.7,2020
21,Maryland,87.2,2020
22,Massachusetts,92.0,2020
23,Michigan,74.6,2020
24,Minnesota,73.3,2020
25,Mississippi,49.4,2020
26,Missouri,70.4,2020
27,Montana,55.9,2020
28,Nebraska,73.1,2020
29,Nevada,94.2,2020
30,New Hampshire,60.3,2020
31,New Jersey,94.7,2020
32,New Mexico,77.4,2020
33,New York,87.9,2020
34,North Carolina,66.1,2020
35,North Dakota,59.9,2020
36,Ohio,77.9,2020
37,Oklahoma,66.2,2020
38,Oregon,81.0,2020
39,Pennsylvania,78.7,2020
40,Rhode Island,90.7,2020
41,South Carolina,66.3,2020
42,South Dakota,56.7,2020
43,Tennessee,66.4,2020
44,Texas,84.7,2020
45,Utah,90.6,2020
46,Vermont,38.9,2020
47,Virginia,75.5,2020
48,Washington,84.1,2020
49,West Virginia,48.7,2020
50,Wisconsin,70.2,2020
51,Wyoming,64.8,2020
1,Alabama,59.0,2021
2,Alaska,66.0,2021
3,Arizona,89.8,2021
4,Arkansas,56.2,2021
5,California,95.0,2021
6,Colorado,86.2,2021
7,Connecticut,88.0,2021
8,Delaware,83.3,2021
9,District of Columbia,100.0,2021
10,Florida,91.2,2021
11,Georgia,75.1,2021
12,Hawaii,91.9,2021
13,Idaho,70.6,2021
14,Illinois,88.5,2021
15,Indiana,72.4,2021
16,Iowa,64.0,2021
17,Kansas,74.2,2021
18,Kentucky,58.4,2021
19,Louisiana,73.2,2021
20,Maine,38.7,2021
21,Maryland,87.2,2021
22,Massachusetts,92.0,2021
23,Michigan,74.6,2021
24,Minnesota,73.3,2021
25,Mississippi,49.4,2021
26,Missouri,70.4,2021
27,Montana,55.9,2021
28,Nebraska,73.1,2021
29,Nevada,94.2,2021
30,New Hampshire,60.3,2021
31,New Jersey,94.7,2021
32,New Mexico,77.4,2021
33,New York,87.9,2021
34,North Carolina,66.1,2021
35,North Dakota,59.9,2021
36,Ohio,77.9,2021
37,Oklahoma,66.2,2021
38,Oregon,81.0,2021
39,Pennsylvania,78.7,2021
40,Rhode Island,90.7,2021
41,South Carolina,66.3,2021
42,South Dakota,56.7,2021
43,Tennessee,66.4,2021
44,Texas,84.7,2021
45,Utah,90.6,2021
46,Vermont,38.9,2021
47,Virginia,75.5,2021
48,Washington,84.1,2021
49,West Virginia,48.7,2021
50,Wisconsin,70.2,2021
51,Wyoming,64.8,2021
